,date,National Team,Rating
214,1912-01-20,Scotland,77.59634719657082
215,1912-02-03,Scotland,77.31295768261273
216,1912-02-10,Scotland,77.31295768261273
217,1912-02-24,Scotland,76.5046957679165
218,1912-03-09,Scotland,76.5046957679165
219,1912-03-16,Scotland,78.14245837219369
220,1912-03-25,Scotland,78.14245837219369
221,1912-04-08,Scotland,78.14245837219369
222,1912-11-23,Scotland,77.08449574479143
223,1912-11-30,Scotland,77.08449574479143
224,1912-12-14,Scotland,77.08449574479143
225,1913-01-01,Scotland,77.81280002432305
226,1913-01-04,Scotland,77.81280002432305
227,1913-01-11,Scotland,77.81280002432305
228,1913-01-18,Scotland,77.81280002432305
229,1913-01-25,Scotland,77.81280002432305
230,1913-02-01,Scotland,77.15336209727518
231,1913-02-09,Scotland,77.15336209727518
232,1913-02-22,Scotland,78.367948402884
233,1913-02-27,Scotland,78.367948402884
234,1913-03-08,Scotland,78.367948402884
235,1913-03-15,Scotland,77.79603508015622
236,1913-03-24,Scotland,77.79603508015622
237,1913-09-06,Scotland,77.79603508015622
238,1913-09-13,Scotland,77.79603508015622
239,1913-09-20,Scotland,77.79603508015622
240,1914-01-01,Scotland,77.79603508015622
241,1914-01-17,Scotland,77.79603508015622
242,1914-02-07,Scotland,76.86145769126735
243,1914-02-14,Scotland,76.86145769126735
244,1914-02-28,Scotland,75.97474538487475
245,1914-03-02,Scotland,75.97474538487475
246,1914-03-14,Scotland,75.97474538487475
247,1914-03-21,Scotland,75.8348014498111
248,1914-04-13,Scotland,75.8348014498111
249,1914-07-18,Scotland,75.8348014498111
250,1914-08-01,Scotland,75.8348014498111
251,1914-08-15,Scotland,75.8348014498111
252,1920-01-01,Scotland,76.41615333075384
253,1920-01-17,Scotland,76.41615333075384
254,1920-01-31,Scotland,76.41615333075384
255,1920-02-07,Scotland,78.17880381679376
256,1920-02-14,Scotland,78.17880381679376
257,1920-02-17,Scotland,78.17880381679376
258,1920-02-28,Scotland,79.60421589918218
259,1920-03-13,Scotland,79.60421589918218
260,1920-03-20,Scotland,78.98249459366103
261,1920-04-03,Scotland,78.98249459366103
262,1921-01-15,Scotland,78.98249459366103
263,1921-01-22,Scotland,77.36368354276378
264,1921-02-05,Scotland,78.81851687795353
265,1921-02-12,Scotland,78.81851687795353
266,1921-02-26,Scotland,77.3650373649006
267,1921-03-12,Scotland,77.3650373649006
268,1921-03-19,Scotland,76.9832594943351
269,1921-03-28,Scotland,76.9832594943351
270,1921-04-09,Scotland,76.9832594943351
271,1921-08-13,Scotland,76.9832594943351
272,1921-08-27,Scotland,76.9832594943351
273,1921-09-17,Scotland,76.9832594943351
274,1922-01-02,Scotland,76.80966091806415
275,1922-01-21,Scotland,76.80966091806415
276,1922-02-04,Scotland,77.4689474561235
277,1922-02-11,Scotland,77.4689474561235
278,1922-02-25,Scotland,78.12464547590932
279,1922-03-11,Scotland,78.12464547590932
280,1922-03-18,Scotland,77.54840300466427
281,1922-03-23,Scotland,77.54840300466427
282,1922-04-08,Scotland,77.54840300466427
283,1923-01-20,Scotland,78.2534542524375
284,1923-02-03,Scotland,79.64050369735202
285,1923-02-10,Scotland,79.64050369735202
286,1923-02-24,Scotland,80.12362038034352
287,1923-03-10,Scotland,80.12362038034352
288,1923-03-17,Scotland,79.51621145887466
289,1923-04-02,Scotland,79.51621145887466
290,1923-04-14,Scotland,79.51621145887466
291,1924-01-01,Scotland,78.05328394080732
292,1924-01-19,Scotland,78.05328394080732
293,1924-01-26,Scotland,78.05328394080732
294,1924-02-02,Scotland,79.6752631535327
295,1924-02-09,Scotland,79.6752631535327
296,1924-02-23,Scotland,80.26919277462315
297,1924-03-08,Scotland,80.26919277462315
298,1924-03-15,Scotland,79.4939495970268
299,1924-03-27,Scotland,79.4939495970268
300,1924-11-01,Scotland,79.4939495970268
301,1924-11-29,Scotland,79.4939495970268
302,1925-01-01,Scotland,79.4939495970268
303,1925-01-03,Scotland,79.4939495970268
304,1925-01-17,Scotland,79.4939495970268
305,1925-01-18,Scotland,79.4939495970268
306,1925-02-07,Scotland,80.18781860678746
307,1925-02-14,Scotland,80.18781860678746
308,1925-02-21,Scotland,80.73592424533075
309,1925-02-28,Scotland,81.43296209865703
310,1925-03-14,Scotland,81.43296209865703
311,1925-03-21,Scotland,82.70696193701043
312,1925-04-13,Scotland,82.70696193701043
313,1926-01-01,Scotland,82.70696193701043
314,1926-01-02,Scotland,82.65227500224157
315,1926-01-16,Scotland,82.65227500224157
316,1926-02-06,Scotland,82.97211303030049
317,1926-02-13,Scotland,82.97211303030049
318,1926-02-27,Scotland,81.69190141878802
319,1926-03-13,Scotland,81.69190141878802
320,1926-03-20,Scotland,82.6132592544165
321,1926-04-05,Scotland,82.6132592544165
322,1927-01-01,Scotland,82.6132592544165
323,1927-01-15,Scotland,82.6132592544165
324,1927-01-22,Scotland,82.43172178396827
325,1927-02-05,Scotland,82.87395780787273
326,1927-02-12,Scotland,82.87395780787273
327,1927-02-26,Scotland,81.49672818193565
328,1927-03-12,Scotland,81.49672818193565
329,1927-03-19,Scotland,82.51462501095821
330,1927-04-02,Scotland,82.51462501095821
331,1927-11-12,Scotland,82.51462501095821
332,1927-11-26,Scotland,82.51462501095821
333,1927-12-17,Scotland,83.2460063646196
334,1928-01-02,Scotland,83.20076148510054
335,1928-01-07,Scotland,83.20076148510054
336,1928-01-21,Scotland,83.20076148510054
337,1928-01-22,Scotland,83.20076148510054
338,1928-01-28,Scotland,83.20076148510054
339,1928-02-04,Scotland,81.39747194527187
340,1928-02-11,Scotland,81.39747194527187
341,1928-02-25,Scotland,80.16673112043212
342,1928-03-10,Scotland,80.16673112043212
343,1928-03-17,Scotland,79.2877027373449
344,1928-04-09,Scotland,79.2877027373449
345,1928-06-30,Scotland,79.2877027373449
346,1928-07-21,Scotland,79.2877027373449
347,1928-08-18,Scotland,79.2877027373449
348,1928-09-01,Scotland,79.2877027373449
349,1928-12-31,Scotland,79.2877027373449
350,1929-01-19,Scotland,79.67951379322336
351,1929-02-02,Scotland,78.17313158228512
352,1929-02-09,Scotland,78.17313158228512
353,1929-02-23,Scotland,79.59192094655559
354,1929-03-09,Scotland,79.59192094655559
355,1929-03-16,Scotland,80.77164885627664
356,1929-04-01,Scotland,80.77164885627664
357,1929-07-06,Scotland,80.77164885627664
358,1929-07-20,Scotland,80.77164885627664
359,1929-07-27,Scotland,80.77164885627664
360,1930-01-01,Scotland,78.88961153850278
361,1930-01-18,Scotland,78.88961153850278
362,1930-01-25,Scotland,78.88961153850278
363,1930-02-01,Scotland,79.65325317108652
364,1930-02-08,Scotland,79.65325317108652
365,1930-02-22,Scotland,78.69595934209202
366,1930-03-08,Scotland,78.69595934209202
367,1930-03-15,Scotland,78.86886084375554
368,1930-04-21,Scotland,78.86886084375554
369,1931-01-01,Scotland,78.86886084375554
370,1931-01-17,Scotland,78.86886084375554
371,1931-01-24,Scotland,79.55270365213146
372,1931-02-07,Scotland,78.42488314142633
373,1931-02-14,Scotland,78.42488314142633
374,1931-02-28,Scotland,77.50059805732224
375,1931-03-14,Scotland,77.50059805732224
376,1931-03-21,Scotland,78.63321348852357
377,1931-04-06,Scotland,78.63321348852357
378,1931-09-12,Scotland,78.63321348852357
379,1931-12-05,Scotland,78.63321348852357
380,1931-12-19,Scotland,78.63321348852357
381,1932-01-02,Scotland,78.63321348852357
382,1932-01-16,Scotland,78.3754506356434
383,1932-02-06,Scotland,77.65633584920997
384,1932-02-13,Scotland,77.65633584920997
385,1932-02-27,Scotland,76.63797007685257
386,1932-03-12,Scotland,76.63797007685257
387,1932-03-19,Scotland,75.67864531219593
388,1932-07-02,Scotland,75.67864531219593
389,1932-07-16,Scotland,75.67864531219593
390,1932-07-23,Scotland,75.67864531219593
391,1933-01-21,Scotland,75.67864531219593
392,1933-02-04,Scotland,77.24141747018484
393,1933-02-11,Scotland,77.24141747018484
394,1933-03-11,Scotland,77.24141747018484
395,1933-03-18,Scotland,78.36898598032231
396,1933-04-01,Scotland,79.50127685646409
397,1933-07-08,Scotland,79.50127685646409
398,1933-07-22,Scotland,79.50127685646409
399,1933-08-12,Scotland,79.50127685646409
400,1933-08-26,Scotland,79.50127685646409
401,1933-09-02,Scotland,79.50127685646409
402,1934-01-20,Scotland,79.50127685646409
403,1934-02-03,Scotland,78.301451037577
404,1934-02-10,Scotland,78.301451037577
405,1934-02-24,Scotland,79.22680282745534
406,1934-03-10,Scotland,79.22680282745534
407,1934-03-17,Scotland,78.25591149495548
408,1934-08-11,Scotland,78.25591149495548
409,1934-08-25,Scotland,78.25591149495548
410,1935-01-19,Scotland,78.25591149495548
411,1935-02-02,Scotland,77.38980511153274
412,1935-02-09,Scotland,77.38980511153274
413,1935-02-23,Scotland,76.18004373888992
414,1935-03-09,Scotland,76.18004373888992
415,1935-03-16,Scotland,77.65545970720956
416,1935-11-23,Scotland,77.1958014835311
417,1935-12-07,Scotland,77.1958014835311
418,1935-12-21,Scotland,77.1958014835311
419,1936-01-04,Scotland,77.1958014835311
420,1936-01-18,Scotland,77.1958014835311
421,1936-02-01,Scotland,76.53369532220177
422,1936-02-08,Scotland,76.53369532220177
423,1936-02-22,Scotland,75.75910966212393
424,1936-03-14,Scotland,75.75910966212393
425,1936-03-21,Scotland,75.1243166114651
426,1936-09-05,Scotland,75.1243166114651
427,1936-09-12,Scotland,75.1243166114651
428,1937-01-16,Scotland,75.1243166114651
429,1937-02-06,Scotland,76.698591020371
