,Year,Team 1,Team 1 rank,Team 1 Score,Team 2,Team 2 rank,Team 2 Score,Result,country,world_cup
959,1996,New Zealand,1.0,62,Scotland,6.0,31,New Zealand,New Zealand,False
961,1996,Australia,3.0,42,Wales,9.0,3,Australia,Australia,False
962,1996,New Zealand,1.0,36,Scotland,6.0,12,New Zealand,New Zealand,False
963,1996,Argentina,9.0,15,France,4.0,34,Argentina,Argentina,False
964,1996,New Zealand,1.0,43,Australia,3.0,6,New Zealand,New Zealand,False
965,1996,Australia,3.0,21,South Africa,2.0,16,Australia,Australia,False
966,1996,New Zealand,1.0,15,South Africa,2.0,11,New Zealand,New Zealand,False
967,1996,Australia,3.0,25,New Zealand,1.0,32,Australia,Australia,False
968,1996,South Africa,2.0,25,Australia,3.0,19,South Africa,South Africa,False
969,1996,South Africa,2.0,18,New Zealand,1.0,29,South Africa,South Africa,False
960,1996,Argentina,8.0,27,France,5.0,34,Argentina,Argentina,False
951,1996,England,5.0,21,Wales,9.0,15,England,England,False
987,1997,Ireland,10.0,29,Italy,9.0,37,Ireland,Ireland,False
1007,1997,South Africa,2.0,32,New Zealand,1.0,35,South Africa,South Africa,False
1010,1997,New Zealand,1.0,55,South Africa,3.0,35,New Zealand,New Zealand,False
1011,1997,New Zealand,1.0,36,Australia,2.0,24,New Zealand,New Zealand,False
1012,1997,South Africa,2.0,61,Australia,3.0,22,South Africa,South Africa,False
1013,1997,France,4.0,30,Italy,8.0,19,France,France,False
1014,1997,Argentina,6.0,18,Italy,8.0,18,Draw,France,False
1015,1997,France,4.0,32,Argentina,7.0,27,France,France,False
1016,1997,Argentina,7.0,15,Australia,3.0,23,Argentina,Argentina,False
1017,1997,Argentina,6.0,18,Australia,3.0,16,Argentina,Argentina,False
1009,1997,Australia,2.0,32,South Africa,3.0,20,Australia,Australia,False
1018,1997,Italy,8.0,31,South Africa,2.0,62,Italy,Italy,False
1020,1997,England,5.0,15,Australia,3.0,15,Draw,England,False
1021,1997,Ireland,10.0,15,New Zealand,1.0,63,Ireland,Ireland,False
1022,1997,France,4.0,10,South Africa,2.0,52,France,France,False
1023,1997,England,5.0,8,New Zealand,1.0,25,England,England,False
1024,1997,Scotland,7.0,8,Australia,3.0,37,Scotland,Scotland,False
1025,1997,Wales,8.0,7,New Zealand,1.0,42,Wales,England,False
1029,1997,Italy,7.0,37,Ireland,10.0,22,Italy,Italy,False
1028,1997,England,4.0,26,New Zealand,1.0,26,Draw,England,False
1019,1997,France,4.0,32,South Africa,2.0,36,France,France,False
1027,1997,Scotland,7.0,10,South Africa,2.0,68,Scotland,Scotland,False
1008,1997,Australia,3.0,18,New Zealand,1.0,33,Australia,Australia,False
1006,1997,Australia,3.0,25,England,5.0,6,Australia,Australia,False
988,1997,Scotland,6.0,19,Wales,7.0,34,Scotland,Scotland,False
989,1997,Ireland,10.0,15,France,5.0,32,Ireland,Ireland,False
990,1997,England,4.0,41,Scotland,6.0,13,England,England,False
991,1997,Wales,7.0,25,Ireland,8.0,26,Wales,Wales,False
992,1997,France,5.0,27,Wales,7.0,22,France,France,False
993,1997,Ireland,9.0,6,England,4.0,46,Ireland,Ireland,False
994,1997,Scotland,6.0,38,Ireland,10.0,10,Scotland,Scotland,False
995,1997,England,5.0,20,France,4.0,23,England,England,False
996,1997,France,4.0,47,Scotland,6.0,20,France,France,False
998,1997,France,5.0,32,Italy,7.0,40,France,France,False
999,1997,Argentina,9.0,20,England,4.0,46,Argentina,Argentina,False
1000,1997,Argentina,6.0,33,England,5.0,13,Argentina,Argentina,False
1001,1997,New Zealand,1.0,93,Argentina,6.0,8,New Zealand,New Zealand,False
1002,1997,Australia,3.0,29,France,4.0,15,Australia,Australia,False
1003,1997,Australia,3.0,26,France,4.0,19,Australia,Australia,False
1004,1997,New Zealand,1.0,62,Argentina,6.0,10,New Zealand,New Zealand,False
1005,1997,New Zealand,1.0,30,Australia,3.0,13,New Zealand,New Zealand,False
997,1997,Wales,7.0,13,England,5.0,34,Wales,Wales,False
1026,1997,England,5.0,11,South Africa,2.0,29,England,England,False
1069,1998,England,5.0,13,South Africa,2.0,7,England,England,False
1068,1998,England,5.0,11,Australia,2.0,12,England,England,False
1031,1998,Ireland,10.0,16,Scotland,9.0,17,Ireland,Ireland,False
1052,1998,South Africa,2.0,18,England,5.0,0,South Africa,South Africa,False
1053,1998,Australia,3.0,24,New Zealand,1.0,16,Australia,Australia,False
1054,1998,Australia,3.0,13,South Africa,2.0,14,Australia,Australia,False
1055,1998,New Zealand,2.0,3,South Africa,1.0,13,New Zealand,New Zealand,False
1056,1998,New Zealand,3.0,23,Australia,2.0,27,New Zealand,New Zealand,False
1057,1998,South Africa,1.0,24,New Zealand,3.0,23,South Africa,South Africa,False
1058,1998,South Africa,1.0,29,Australia,2.0,15,South Africa,South Africa,False
1051,1998,New Zealand,1.0,40,England,5.0,10,New Zealand,New Zealand,False
1060,1998,Italy,6.0,23,Argentina,8.0,19,Italy,Italy,False
1062,1998,France,3.0,34,Argentina,8.0,14,France,France,False
1063,1998,Scotland,8.0,10,South Africa,1.0,35,Scotland,Scotland,False
1064,1998,France,4.0,21,Australia,2.0,32,France,France,False
1065,1998,Wales,6.0,43,Argentina,9.0,30,Wales,Wales,False
1066,1998,England,5.0,23,Italy,7.0,15,England,England,False
1067,1998,Ireland,10.0,13,South Africa,1.0,27,Ireland,Ireland,False
1030,1998,Italy,7.0,25,Scotland,9.0,21,Italy,Italy,False
1061,1998,Wales,7.0,20,South Africa,1.0,28,Wales,England,False
1050,1998,South Africa,2.0,96,Wales,7.0,13,South Africa,South Africa,False
1059,1998,Australia,2.0,19,New Zealand,4.0,14,Australia,Australia,False
1048,1998,Australia,4.0,33,Scotland,9.0,11,Australia,Australia,False
1032,1998,France,4.0,24,England,5.0,17,France,France,False
1049,1998,South Africa,2.0,33,Ireland,10.0,0,South Africa,South Africa,False
1033,1998,Wales,7.0,23,Italy,8.0,20,Wales,Wales,False
1034,1998,Scotland,9.0,16,France,4.0,51,Scotland,Scotland,False
1035,1998,England,5.0,60,Wales,8.0,26,England,England,False
1036,1998,France,4.0,18,Ireland,10.0,16,France,France,False
1038,1998,Ireland,10.0,21,Wales,7.0,30,Ireland,Ireland,False
1039,1998,Scotland,9.0,20,England,5.0,34,Scotland,Scotland,False
1037,1998,Wales,7.0,19,Scotland,9.0,13,Wales,England,False
1041,1998,Wales,7.0,0,France,3.0,51,France,England,False
1042,1998,Australia,3.0,76,England,5.0,0,Australia,Australia,False
1043,1998,Argentina,6.0,18,France,4.0,35,Argentina,Argentina,False
1044,1998,Australia,3.0,45,Scotland,9.0,3,Australia,Australia,False
1045,1998,South Africa,2.0,37,Ireland,10.0,13,South Africa,South Africa,False
1046,1998,New Zealand,1.0,64,England,5.0,22,New Zealand,New Zealand,False
1047,1998,Argentina,6.0,12,France,3.0,37,Argentina,Argentina,False
1040,1998,England,5.0,35,Ireland,10.0,17,England,England,False
2379,1999,Australia,,55,United States of America,,19,Australia,Wales,True
2385,1999,Scotland,,48,Spain,,0,Scotland,Wales,True
2380,1999,Canada,,72,Namibia,,11,Canada,Wales,True
2381,1999,England,,101,Tonga,,10,England,Wales,True
2382,1999,South Africa,,39,Uruguay,,3,South Africa,Wales,True
2383,1999,Ireland,,44,Romania,,14,Ireland,Wales,True
2384,1999,France,,28,Fiji,,19,France,Wales,True
2386,1999,Argentina,,33,Japan,,12,Argentina,Wales,True
2394,1999,Australia,,27,South Africa,,21,Australia,Wales,True
2388,1999,Scotland,,35,Samoa,,20,Scotland,Wales,True
2389,1999,Argentina,,28,Ireland,,24,Argentina,Wales,True
2390,1999,Wales,,9,Australia,,24,Australia,Wales,True
2391,1999,England,,21,South Africa,,44,South Africa,Wales,True
2392,1999,Argentina,,26,France,,47,France,Wales,True
2393,1999,Scotland,,18,New Zealand,,30,New Zealand,Wales,True
2378,1999,Wales,,31,Samoa,,38,Samoa,Wales,True
2387,1999,England,,45,Fiji,,24,England,Wales,True
2358,1999,Fiji,,67,Namibia,,18,Fiji,Wales,True
2375,1999,South Africa,,47,Spain,,3,South Africa,Wales,True
2357,1999,Wales,,23,Argentina,,18,Wales,Wales,True
2359,1999,France,,33,Canada,,20,France,Wales,True
2360,1999,Spain,,15,Uruguay,,27,Uruguay,Wales,True
2361,1999,England,,67,Italy,,7,England,Wales,True
2362,1999,Ireland,,53,United States of America,,8,Ireland,Wales,True
2363,1999,Japan,,9,Samoa,,43,Samoa,Wales,True
2364,1999,New Zealand,,45,Tonga,,9,New Zealand,Wales,True
2376,1999,Italy,,25,Tonga,,28,Tonga,Wales,True
2365,1999,Scotland,,29,South Africa,,46,South Africa,Wales,True
2367,1999,Scotland,,43,Uruguay,,12,Scotland,Wales,True
2368,1999,France,,47,Namibia,,13,France,Wales,True
2369,1999,Canada,,22,Fiji,,38,Fiji,Wales,True
2370,1999,Wales,,64,Japan,,15,Wales,Wales,True
2371,1999,England,,16,New Zealand,,30,New Zealand,Wales,True
2372,1999,Romania,,27,United States of America,,25,Romania,Wales,True
2373,1999,Argentina,,32,Samoa,,16,Argentina,Wales,True
2374,1999,Ireland,,3,Australia,,23,Australia,Wales,True
2366,1999,Australia,,57,Romania,,9,Australia,Wales,True
2397,1999,Australia,,35,France,,12,Australia,Wales,True
1106,1999,New Zealand,2.0,101,Italy,9.0,3,New Zealand,England,True
1101,1999,Wales,5.0,23,Argentina,10.0,18,Wales,Wales,True
1094,1999,New Zealand,1.0,34,Australia,2.0,15,New Zealand,New Zealand,False
1096,1999,South Africa,4.0,10,Australia,2.0,9,South Africa,South Africa,False
1097,1999,Scotland,7.0,22,Argentina,9.0,31,Scotland,Scotland,False
1098,1999,Wales,5.0,34,France,7.0,23,Wales,Wales,False
1099,1999,Australia,1.0,28,New Zealand,2.0,7,Australia,Australia,False
1100,1999,Ireland,8.0,32,Argentina,9.0,24,Ireland,Ireland,False
1102,1999,England,3.0,67,Italy,10.0,7,England,England,True
1103,1999,Scotland,7.0,29,South Africa,3.0,46,Scotland,Scotland,True
1104,1999,England,5.0,16,New Zealand,1.0,30,England,England,True
1105,1999,Ireland,8.0,3,Australia,2.0,23,Ireland,Ireland,True
1107,1999,Argentina,8.0,28,Ireland,10.0,24,Argentina,France,True
1108,1999,Wales,5.0,9,Australia,1.0,24,Wales,Wales,True
1109,1999,England,6.0,21,South Africa,2.0,44,England,France,True
1110,1999,Scotland,7.0,18,New Zealand,3.0,30,Scotland,Scotland,True
1111,1999,Argentina,10.0,26,France,5.0,47,Argentina,Ireland,True
1112,1999,Australia,1.0,27,South Africa,3.0,21,Australia,England,True
1113,1999,New Zealand,4.0,31,France,3.0,43,New Zealand,England,True
1114,1999,South Africa,2.0,22,New Zealand,4.0,18,South Africa,Wales,True
1115,1999,Australia,1.0,35,France,3.0,12,Australia,Wales,True
1093,1999,Australia,1.0,32,South Africa,4.0,6,Australia,Australia,False
1092,1999,New Zealand,2.0,28,South Africa,4.0,0,New Zealand,New Zealand,False
1095,1999,South Africa,4.0,18,New Zealand,1.0,34,South Africa,South Africa,False
1090,1999,Wales,5.0,29,South Africa,3.0,19,Wales,Wales,False
1070,1999,Scotland,8.0,33,Wales,7.0,20,Scotland,Scotland,False
1071,1999,Ireland,10.0,9,France,3.0,10,Ireland,Ireland,False
1072,1999,Wales,8.0,23,Ireland,9.0,29,Wales,England,False
1073,1999,England,5.0,24,Scotland,7.0,21,England,England,False
1074,1999,France,5.0,33,Wales,7.0,34,France,France,False
1075,1999,Ireland,9.0,15,England,4.0,27,Ireland,Ireland,False
1076,1999,Scotland,6.0,30,Italy,8.0,12,Scotland,Scotland,False
1091,1999,New Zealand,2.0,54,France,7.0,7,New Zealand,New Zealand,False
1078,1999,Italy,9.0,21,Wales,7.0,60,Italy,Italy,False
1079,1999,Scotland,6.0,30,Ireland,10.0,13,Scotland,Scotland,False
1080,1999,Ireland,9.0,39,Italy,10.0,30,Ireland,Ireland,False
1077,1999,England,4.0,21,France,5.0,10,England,England,False
1082,1999,England,4.0,32,Wales,7.0,31,England,England,False
1089,1999,Australia,1.0,22,England,4.0,15,Australia,Australia,False
1081,1999,France,6.0,22,Scotland,5.0,36,France,France,False
1087,1999,South Africa,2.0,101,Italy,9.0,0,South Africa,South Africa,False
1086,1999,Australia,1.0,46,Ireland,8.0,10,Australia,Australia,False
1088,1999,Australia,1.0,32,Ireland,8.0,26,Australia,Australia,False
1084,1999,Argentina,9.0,16,Wales,7.0,23,Argentina,Argentina,False
1083,1999,Argentina,9.0,26,Wales,7.0,36,Argentina,Argentina,False
1085,1999,South Africa,2.0,74,Italy,10.0,3,South Africa,South Africa,False
1146,2000,Scotland,9.0,9,Australia,1.0,30,Scotland,Scotland,False
1139,2000,Australia,1.0,35,New Zealand,3.0,39,Australia,Australia,False
1140,2000,New Zealand,2.0,25,South Africa,3.0,12,New Zealand,New Zealand,False
1141,2000,Australia,1.0,26,South Africa,3.0,6,Australia,Australia,False
1142,2000,New Zealand,2.0,23,Australia,1.0,24,New Zealand,New Zealand,False
1143,2000,South Africa,2.0,46,New Zealand,3.0,40,South Africa,South Africa,False
1144,2000,South Africa,2.0,18,Australia,1.0,19,South Africa,South Africa,False
1145,2000,France,5.0,13,Australia,1.0,18,France,France,False
1147,2000,France,6.0,26,New Zealand,2.0,39,France,France,False
1122,2000,Scotland,10.0,16,France,4.0,28,Scotland,Scotland,False
1149,2000,England,2.0,22,Australia,1.0,19,England,England,False
1150,2000,France,5.0,42,New Zealand,4.0,33,France,France,False
1151,2000,Ireland,8.0,18,South Africa,2.0,28,Ireland,Ireland,False
1152,2000,England,2.0,19,Argentina,7.0,0,England,England,False
1153,2000,Italy,10.0,19,New Zealand,4.0,56,Italy,Italy,False
1154,2000,Wales,6.0,13,South Africa,2.0,23,Wales,Wales,False
1155,2000,England,2.0,25,South Africa,3.0,17,England,England,False
1138,2000,Australia,1.0,44,South Africa,2.0,23,Australia,Australia,False
1148,2000,Argentina,7.0,33,South Africa,3.0,37,Argentina,Argentina,False
1136,2000,Australia,1.0,32,Argentina,7.0,25,Australia,Australia,False
1137,2000,New Zealand,3.0,48,Scotland,9.0,14,New Zealand,New Zealand,False
1116,2000,England,5.0,50,Ireland,10.0,18,England,England,False
1135,2000,South Africa,2.0,22,England,3.0,27,South Africa,South Africa,False
1117,2000,Wales,6.0,3,France,3.0,36,Wales,Wales,False
1118,2000,Italy,7.0,34,Scotland,8.0,20,Italy,Italy,False
1119,2000,Ireland,7.0,44,Scotland,10.0,22,Ireland,Ireland,False
1120,2000,France,3.0,9,England,4.0,15,France,France,False
1123,2000,Ireland,7.0,60,Italy,9.0,13,Ireland,Ireland,False
1124,2000,England,3.0,46,Wales,6.0,12,England,England,False
1125,2000,Wales,6.0,26,Scotland,10.0,18,Wales,Wales,False
1121,2000,Wales,6.0,47,Italy,8.0,16,Wales,Wales,False
1127,2000,France,5.0,25,Ireland,7.0,27,France,France,False
1128,2000,France,5.0,42,Italy,9.0,31,France,France,False
1129,2000,Ireland,7.0,19,Wales,6.0,23,Ireland,Ireland,False
1130,2000,Scotland,8.0,19,England,5.0,13,Scotland,Scotland,False
1131,2000,Argentina,8.0,34,Ireland,7.0,23,Argentina,Argentina,False
1132,2000,South Africa,2.0,18,England,5.0,13,South Africa,South Africa,False
1133,2000,Australia,1.0,53,Argentina,7.0,6,Australia,Australia,False
1126,2000,Italy,9.0,12,England,3.0,59,Italy,Italy,False
1134,2000,New Zealand,4.0,69,Scotland,9.0,20,New Zealand,New Zealand,False
1183,2001,Wales,9.0,16,Argentina,8.0,30,Wales,Wales,False
1182,2001,Ireland,5.0,20,England,3.0,14,Ireland,Ireland,False
1181,2001,Wales,7.0,6,Ireland,6.0,36,Wales,Wales,False
1178,2001,New Zealand,3.0,26,South Africa,4.0,15,New Zealand,New Zealand,False
1179,2001,Australia,1.0,29,New Zealand,3.0,26,Australia,Australia,False
1184,2001,England,2.0,21,Australia,1.0,15,England,England,False
1180,2001,Scotland,7.0,32,Ireland,8.0,10,Scotland,Scotland,False
1185,2001,France,6.0,20,South Africa,4.0,10,France,France,False
1170,2001,New Zealand,3.0,67,Argentina,9.0,19,New Zealand,New Zealand,False
1187,2001,Ireland,6.0,29,New Zealand,2.0,40,Ireland,Ireland,False
1188,2001,Italy,10.0,26,South Africa,5.0,54,Italy,Italy,False
1189,2001,Scotland,9.0,16,Argentina,7.0,25,Scotland,Scotland,False
1190,2001,Scotland,9.0,6,New Zealand,2.0,37,Scotland,Scotland,False
1191,2001,England,1.0,29,South Africa,5.0,9,England,England,False
1192,2001,Wales,8.0,13,Australia,3.0,21,Wales,Wales,False
1193,2001,Argentina,7.0,20,New Zealand,2.0,24,Argentina,Argentina,False
1177,2001,Australia,1.0,14,South Africa,4.0,14,Draw,Australia,False
1186,2001,France,4.0,14,Australia,3.0,13,France,France,False
1176,2001,New Zealand,3.0,15,Australia,1.0,23,New Zealand,New Zealand,False
1167,2001,Italy,10.0,23,Wales,5.0,33,Italy,Italy,False
1174,2001,South Africa,4.0,3,New Zealand,3.0,12,South Africa,South Africa,False
1156,2001,Italy,10.0,22,Ireland,7.0,41,Italy,Italy,False
1157,2001,Wales,6.0,15,England,2.0,44,Wales,Wales,False
1158,2001,France,5.0,16,Scotland,9.0,6,France,France,False
1159,2001,England,2.0,80,Italy,10.0,23,England,England,False
1160,2001,Ireland,7.0,22,France,5.0,15,Ireland,Ireland,False
1161,2001,Scotland,9.0,28,Wales,6.0,28,Draw,Scotland,False
1162,2001,Italy,10.0,19,France,5.0,30,Italy,Italy,False
1175,2001,South Africa,4.0,20,Australia,1.0,15,South Africa,South Africa,False
1163,2001,England,2.0,43,Scotland,9.0,3,England,England,False
1165,2001,Scotland,8.0,23,Italy,10.0,19,Scotland,Scotland,False
1166,2001,England,2.0,48,France,6.0,19,England,England,False
1168,2001,South Africa,4.0,23,France,5.0,32,South Africa,South Africa,False
1169,2001,South Africa,4.0,20,France,6.0,15,South Africa,South Africa,False
1171,2001,New Zealand,3.0,37,France,6.0,12,New Zealand,New Zealand,False
1172,2001,South Africa,4.0,60,Italy,10.0,14,South Africa,South Africa,False
1173,2001,Argentina,8.0,38,Italy,10.0,17,Argentina,Argentina,False
1164,2001,France,6.0,35,Wales,5.0,43,France,France,False
1200,2002,Ireland,5.0,43,Scotland,8.0,22,Ireland,Ireland,False
1202,2002,France,4.0,20,England,1.0,15,France,France,False
1201,2002,Wales,9.0,44,Italy,10.0,20,Wales,Wales,False
1199,2002,England,1.0,45,Ireland,6.0,11,England,England,False
1203,2002,Scotland,9.0,10,France,4.0,22,Scotland,Scotland,False
1197,2002,Wales,9.0,33,France,4.0,37,Wales,Wales,False
1196,2002,Ireland,5.0,54,Wales,9.0,10,Ireland,Ireland,False
1195,2002,France,4.0,33,Italy,10.0,12,France,France,False
1194,2002,Scotland,9.0,3,England,1.0,29,Scotland,Scotland,False
1198,2002,Italy,10.0,12,Scotland,8.0,29,Italy,Italy,False
1204,2002,Ireland,5.0,32,Italy,10.0,17,Ireland,Ireland,False
1208,2002,Italy,10.0,9,England,4.0,45,Italy,Italy,False
1206,2002,Wales,9.0,22,Scotland,8.0,27,Wales,Wales,False
1235,2002,Italy,10.0,3,Australia,4.0,34,Italy,Italy,False
1234,2002,England,1.0,53,South Africa,6.0,3,England,England,False
1233,2002,Ireland,5.0,16,Argentina,8.0,7,Ireland,Ireland,False
1232,2002,Italy,10.0,6,Argentina,7.0,38,Italy,Italy,False
1231,2002,France,3.0,20,New Zealand,2.0,20,Draw,France,False
1230,2002,England,1.0,32,Australia,4.0,31,England,England,False
1229,2002,Scotland,8.0,21,South Africa,6.0,6,Scotland,Scotland,False
1228,2002,France,4.0,30,South Africa,5.0,10,France,France,False
1227,2002,Ireland,6.0,18,Australia,3.0,9,Ireland,Ireland,False
1226,2002,England,1.0,31,New Zealand,2.0,28,England,England,False
1225,2002,Argentina,7.0,6,Australia,2.0,17,Argentina,Argentina,False
1224,2002,South Africa,4.0,33,Australia,2.0,31,South Africa,South Africa,False
1223,2002,South Africa,5.0,23,New Zealand,2.0,30,South Africa,South Africa,False
1222,2002,Australia,1.0,16,New Zealand,2.0,14,Australia,Australia,False
1221,2002,Australia,2.0,38,South Africa,5.0,27,Australia,Australia,False
1220,2002,New Zealand,1.0,41,South Africa,4.0,20,New Zealand,New Zealand,False
1219,2002,New Zealand,1.0,12,Australia,2.0,6,New Zealand,New Zealand,False
1218,2002,South Africa,4.0,49,Argentina,7.0,29,South Africa,South Africa,False
1217,2002,Australia,1.0,31,France,5.0,25,Australia,Australia,False
1216,2002,Australia,2.0,29,France,4.0,17,Australia,Australia,False
1215,2002,New Zealand,1.0,40,Ireland,7.0,8,New Zealand,New Zealand,False
1214,2002,Argentina,6.0,18,England,3.0,26,Argentina,Argentina,False
1213,2002,New Zealand,1.0,15,Ireland,7.0,6,New Zealand,New Zealand,False
1212,2002,Argentina,6.0,28,France,4.0,27,Argentina,Argentina,False
1211,2002,South Africa,5.0,19,Wales,9.0,8,South Africa,South Africa,False
1210,2002,New Zealand,3.0,64,Italy,10.0,10,New Zealand,New Zealand,False
1209,2002,South Africa,5.0,34,Wales,9.0,19,South Africa,South Africa,False
1236,2002,Wales,9.0,17,New Zealand,2.0,43,Wales,Wales,False
1207,2002,France,4.0,44,Ireland,6.0,5,France,France,False
1205,2002,England,1.0,50,Wales,8.0,10,England,England,False
2428,2003,Japan,,26,United States of America,,39,United States of America,Australia,True
2424,2003,Italy,,15,Wales,,27,Wales,Australia,True
2425,2003,France,,51,Scotland,,9,France,Australia,True
1237,2003,England,1.0,25,France,3.0,17,England,England,False
1238,2003,Italy,10.0,30,Wales,9.0,22,Italy,Italy,False
1239,2003,Scotland,8.0,6,Ireland,5.0,36,Scotland,Scotland,False
1240,2003,Italy,10.0,13,Ireland,5.0,37,Italy,Italy,False
1241,2003,Wales,9.0,9,England,1.0,26,Wales,Wales,False
1242,2003,France,3.0,38,Scotland,8.0,3,France,France,False
1243,2003,Scotland,8.0,30,Wales,9.0,22,Scotland,Scotland,False
1244,2003,Ireland,3.0,15,France,5.0,12,Ireland,Ireland,False
2423,2003,Australia,,142,Namibia,,0,Australia,Australia,True
1245,2003,England,1.0,40,Italy,9.0,5,England,England,False
1247,2003,Wales,10.0,24,Ireland,3.0,25,Wales,Wales,False
1248,2003,Italy,10.0,27,France,5.0,53,Italy,Italy,False
1249,2003,France,5.0,33,Wales,9.0,5,France,France,False
1250,2003,Scotland,7.0,33,Italy,10.0,25,Scotland,Scotland,False
1251,2003,Ireland,5.0,6,England,1.0,42,Ireland,Ireland,False
1252,2003,Australia,3.0,45,Ireland,5.0,16,Australia,Australia,False
1253,2003,South Africa,6.0,29,Scotland,8.0,25,South Africa,South Africa,False
1254,2003,South Africa,6.0,28,Scotland,8.0,19,South Africa,South Africa,False
1255,2003,Argentina,7.0,10,France,4.0,6,Argentina,Argentina,False
1256,2003,New Zealand,2.0,13,England,1.0,15,New Zealand,New Zealand,False
1246,2003,England,1.0,40,Scotland,8.0,9,England,England,False
1257,2003,Australia,3.0,30,Wales,9.0,10,Australia,Australia,False
2422,2003,Georgia,,19,South Africa,,46,South Africa,Australia,True
2420,2003,Fiji,,41,Japan,,13,Fiji,Australia,True
2398,2003,Australia,,24,Argentina,,8,Australia,Australia,True
2400,2003,Ireland,,45,Romania,,17,Ireland,Australia,True
2401,2003,Fiji,,18,France,,61,France,Australia,True
2402,2003,South Africa,,72,Uruguay,,6,South Africa,Australia,True
2403,2003,Canada,,10,Wales,,41,Wales,Australia,True
2404,2003,Japan,,11,Scotland,,32,Scotland,Australia,True
2405,2003,England,,84,Georgia,,6,England,Australia,True
2406,2003,Argentina,,67,Namibia,,14,Argentina,Australia,True
2407,2003,Fiji,,19,United States of America,,18,Fiji,Australia,True
2421,2003,New Zealand,,91,Tonga,,7,New Zealand,Australia,True
2408,2003,Italy,,36,Tonga,,12,Italy,Australia,True
2410,2003,Canada,,6,New Zealand,,68,New Zealand,Australia,True
2411,2003,Australia,,90,Romania,,8,Australia,Australia,True
2412,2003,France,,51,Japan,,29,France,Australia,True
2413,2003,England,,25,South Africa,,6,England,Australia,True
2414,2003,Tonga,,20,Wales,,27,Wales,Australia,True
2415,2003,Ireland,,64,Namibia,,7,Ireland,Australia,True
2416,2003,Georgia,,9,Samoa,,46,Samoa,Australia,True
2417,2003,Scotland,,39,United States of America,,15,Scotland,Australia,True
2418,2003,Canada,,14,Italy,,19,Italy,Australia,True
2419,2003,Argentina,,50,Romania,,3,Argentina,Australia,True
2409,2003,Samoa,,60,Uruguay,,13,Samoa,Australia,True
1258,2003,Argentina,6.0,33,France,7.0,32,Argentina,Argentina,False
1259,2003,Australia,3.0,14,England,1.0,25,Australia,Australia,False
1260,2003,New Zealand,2.0,55,Wales,9.0,3,New Zealand,New Zealand,False
1288,2003,New Zealand,1.0,29,South Africa,5.0,9,New Zealand,Australia,True
1289,2003,Australia,2.0,22,New Zealand,3.0,10,Australia,Australia,True
1290,2003,England,1.0,24,France,4.0,7,England,Australia,True
1291,2003,New Zealand,2.0,40,France,4.0,13,New Zealand,Australia,True
1292,2003,Australia,3.0,17,England,1.0,20,Australia,Australia,True
2445,2003,Australia,,17,England,,20,England,Australia,True
2443,2003,England,,24,France,,7,England,Australia,True
2442,2003,Australia,,22,New Zealand,,10,Australia,Australia,True
2441,2003,England,,28,Wales,,17,England,Australia,True
1287,2003,France,3.0,43,Ireland,6.0,21,France,Australia,True
2440,2003,France,,43,Ireland,,21,France,Australia,True
2438,2003,New Zealand,,29,South Africa,,9,New Zealand,Australia,True
2437,2003,New Zealand,,53,Wales,,37,New Zealand,Australia,True
2436,2003,England,,111,Uruguay,,13,England,Australia,True
2435,2003,Australia,,17,Ireland,,16,Australia,Australia,True
2434,2003,Samoa,,10,South Africa,,60,South Africa,Australia,True
2433,2003,Fiji,,20,Scotland,,22,Scotland,Australia,True
2432,2003,France,,41,United States of America,,14,France,Australia,True
2431,2003,Namibia,,7,Romania,,37,Romania,Australia,True
2430,2003,Canada,,24,Tonga,,7,Canada,Australia,True
2429,2003,Georgia,,12,Uruguay,,24,Uruguay,Australia,True
2439,2003,Australia,,33,Scotland,,16,Australia,Australia,True
1286,2003,England,2.0,28,Wales,8.0,17,England,Australia,True
1285,2003,Australia,4.0,33,Scotland,9.0,16,Australia,Australia,True
1284,2003,New Zealand,2.0,53,Wales,8.0,37,New Zealand,Australia,True
1261,2003,New Zealand,2.0,31,France,6.0,23,New Zealand,New Zealand,False
1262,2003,South Africa,4.0,26,Argentina,7.0,25,South Africa,South Africa,False
1263,2003,South Africa,3.0,26,Australia,4.0,22,South Africa,South Africa,False
1264,2003,South Africa,4.0,16,New Zealand,2.0,52,South Africa,South Africa,False
1265,2003,Australia,4.0,21,New Zealand,2.0,50,Australia,Australia,False
1266,2003,Australia,3.0,29,South Africa,5.0,9,Australia,Australia,False
1267,2003,New Zealand,2.0,19,South Africa,5.0,11,New Zealand,New Zealand,False
1268,2003,New Zealand,2.0,21,Australia,3.0,17,New Zealand,New Zealand,False
1269,2003,Ireland,4.0,35,Wales,9.0,12,Ireland,Ireland,False
1270,2003,Wales,9.0,9,England,1.0,43,Wales,Wales,False
1271,2003,Scotland,8.0,47,Italy,10.0,15,Scotland,Scotland,False
1272,2003,France,5.0,17,England,2.0,16,France,France,False
1273,2003,Ireland,4.0,61,Italy,10.0,6,Ireland,Ireland,False
1275,2003,Scotland,9.0,10,Ireland,4.0,29,Scotland,Scotland,False
1276,2003,England,2.0,45,France,5.0,14,England,England,False
1277,2003,Australia,3.0,24,Argentina,7.0,8,Australia,Australia,True
1278,2003,New Zealand,2.0,70,Italy,13.0,7,New Zealand,Australia,True
